2 Control Points
x, y, z, r1, r2, desc, id
204.68, 127.40, 0.00, 28.00, 28.00, , 1
Models count: 0
204.82, 128.09, 767.00, 2.00, 2.00, , 2
1059 vessel Segment Points
x, y, z, r1, r2
150.52, 71.11, 151.88, -1.00, -1.00
150.32, 71.04, 152.76, -1.00, -1.00
150.16, 71.01, 153.64, -1.00, -1.00
149.99, 71.00, 154.51, -1.00, -1.00
149.73, 71.00, 155.38, -1.00, -1.00
149.39, 70.96, 156.21, -1.00, -1.00
149.00, 70.80, 157.01, -1.00, -1.00
148.61, 70.42, 157.73, -1.00, -1.00
148.14, 69.92, 158.30, -1.00, -1.00
147.52, 69.43, 158.76, -1.00, -1.00
146.86, 69.12, 159.29, -1.00, -1.00
146.24, 69.01, 159.94, -1.00, -1.00
145.63, 69.00, 160.59, -1.00, -1.00
144.99, 69.00, 161.22, -1.00, -1.00
144.44, 69.00, 161.94, -1.00, -1.00
144.13, 69.00, 162.78, -1.00, -1.00
143.99, 68.97, 163.66, -1.00, -1.00
143.86, 68.86, 164.54, -1.00, -1.00
143.56, 68.57, 165.33, -1.00, -1.00
143.08, 68.13, 165.96, -1.00, -1.00
142.56, 67.73, 166.59, -1.00, -1.00
142.03, 67.42, 167.24, -1.00, -1.00
141.44, 67.21, 167.89, -1.00, -1.00
140.87, 67.08, 168.57, -1.00, -1.00
140.38, 67.02, 169.32, -1.00, -1.00
139.97, 67.00, 170.12, -1.00, -1.00
139.63, 67.00, 170.96, -1.00, -1.00
139.33, 67.00, 171.81, -1.00, -1.00
139.00, 67.00, 172.65, -1.00, -1.00
138.57, 67.00, 173.44, -1.00, -1.00
138.06, 67.00, 174.17, -1.00, -1.00
137.50, 67.00, 174.88, -1.00, -1.00
136.94, 67.00, 175.58, -1.00, -1.00
136.37, 67.00, 176.28, -1.00, -1.00
135.81, 67.00, 176.99, -1.00, -1.00
135.28, 67.00, 177.72, -1.00, -1.00
134.79, 67.00, 178.48, -1.00, -1.00
134.33, 67.00, 179.26, -1.00, -1.00
133.81, 67.00, 179.98, -1.00, -1.00
133.21, 67.00, 180.65, -1.00, -1.00
132.66, 67.00, 181.37, -1.00, -1.00
132.31, 67.00, 182.20, -1.00, -1.00
132.14, 67.00, 183.08, -1.00, -1.00
132.06, 67.00, 183.98, -1.00, -1.00
132.02, 67.00, 184.87, -1.00, -1.00
131.98, 67.00, 185.77, -1.00, -1.00
131.91, 67.00, 186.67, -1.00, -1.00
131.78, 67.00, 187.55, -1.00, -1.00
131.55, 67.00, 188.42, -1.00, -1.00
131.21, 67.00, 189.25, -1.00, -1.00
130.75, 67.00, 190.02, -1.00, -1.00
130.25, 67.00, 190.76, -1.00, -1.00
129.77, 67.00, 191.54, -1.00, -1.00
129.40, 67.00, 192.35, -1.00, -1.00
129.16, 67.00, 193.21, -1.00, -1.00
129.03, 67.00, 194.10, -1.00, -1.00
128.91, 67.00, 195.00, -1.00, -1.00
128.67, 67.00, 195.86, -1.00, -1.00
128.17, 67.00, 196.60, -1.00, -1.00
127.54, 67.00, 197.24, -1.00, -1.00
126.92, 67.00, 197.89, -1.00, -1.00
126.36, 67.00, 198.60, -1.00, -1.00
125.87, 67.00, 199.36, -1.00, -1.00
125.44, 67.00, 200.17, -1.00, -1.00
125.08, 67.00, 200.99, -1.00, -1.00
124.78, 67.00, 201.84, -1.00, -1.00
124.52, 67.00, 202.70, -1.00, -1.00
124.27, 67.00, 203.57, -1.00, -1.00
124.00, 67.00, 204.43, -1.00, -1.00
123.64, 67.00, 205.26, -1.00, -1.00
123.12, 67.00, 205.99, -1.00, -1.00
122.45, 67.00, 206.59, -1.00, -1.00
121.70, 67.00, 207.10, -1.00, -1.00
120.93, 67.00, 207.57, -1.00, -1.00
120.22, 67.00, 208.12, -1.00, -1.00
119.66, 67.00, 208.83, -1.00, -1.00
119.30, 67.00, 209.65, -1.00, -1.00
119.10, 67.00, 210.54, -1.00, -1.00
119.01, 67.00, 211.43, -1.00, -1.00
118.95, 67.00, 212.33, -1.00, -1.00
118.84, 67.00, 213.22, -1.00, -1.00
118.66, 67.00, 214.10, -1.00, -1.00
118.39, 67.00, 214.96, -1.00, -1.00
118.06, 67.00, 215.80, -1.00, -1.00
117.65, 67.00, 216.61, -1.00, -1.00
117.13, 67.00, 217.34, -1.00, -1.00
116.49, 67.00, 217.96, -1.00, -1.00
115.74, 67.00, 218.46, -1.00, -1.00
114.92, 67.00, 218.84, -1.00, -1.00
114.12, 67.00, 219.26, -1.00, -1.00
113.50, 67.00, 219.91, -1.00, -1.00
113.20, 67.00, 220.75, -1.00, -1.00
113.04, 67.00, 221.65, -1.00, -1.00
